business_feature,mean_abs_shap,signed_mean_shap
claim_to_service_median_ratio,0.2968342,-0.09718925
days_since_customer_previous_claim,0.26135892,-0.14223804
reimbursement_ratio,0.21337219,-0.009786823
provider_claims_30d,0.19225936,-0.090207346
submission_month,0.117446095,-0.07144405
amount_above_service_typical,0.0968653,-0.033084013
requested_to_limit_ratio,0.09604984,-0.031537663
same_service_claims_30d,0.09546434,-0.04737274
customer_claims_30d,0.09461442,-0.056221467
provider_type,0.0863043,-0.0018825735
customer_provider_claims_30d,0.08507808,-0.047405962
provider_region,0.07545455,-0.004928901
service_typical_amount,0.062385682,0.0080617145
provider_claims_90d,0.06236297,0.0015492925
same_service_intensity,0.052093334,-0.024773072
customer_provider_intensity,0.051878016,-0.035416856
service_month,0.051877968,0.039980754
customer_age,0.043973178,-0.0030927504
provider_tenure_months,0.040812865,-0.0022153363
customer_claims_7d,0.039171584,-0.018118164
provider_avg_claim_amount_90d,0.03442405,-0.0016887543
requested_reimbursement,0.033697896,-0.006891701
service_category,0.032450054,0.0023826235
policy_tenure_months,0.029599851,0.016835604
customer_tenure_months,0.029291961,-0.00051432155
provider_recent_activity_ratio,0.029288128,-0.0075702025
claim_amount,0.028589431,-0.008110943
service_code,0.024562752,-0.0025360682
customer_avg_claim_amount_365d,0.02313597,0.0012541894
claim_to_customer_avg_ratio,0.022494106,-0.0012922864
recent_claim_share_30d_365d,0.021670863,-0.012427235
submission_dayofweek,0.021541895,0.00010161486
submission_hour,0.0171429,-7.6217315e-05
customer_amount_365d,0.013904282,0.00078112085
days_service_to_submission,0.012453813,-6.99198e-05
coverage_limit,0.010544463,0.00047767878
service_dayofweek,0.00851068,-0.00021275086
days_since_same_provider_claim,0.008179436,-0.0024753846
service_units,0.0076138154,-0.00073490996
claim_to_provider_avg_ratio,0.007490862,-0.001919153
customer_amount_30d,0.006595025,-0.0032077534
document_count,0.0047255997,-0.0003201539
customer_claims_90d,0.003651938,-0.0018899112
coverage_level,0.0036247997,0.0014363483
days_since_policy_change,0.0028716966,5.114591e-05
has_prescription,0.0027343256,-0.00017494214
recent_amount_share_30d_365d,0.0021716657,-0.0018638865
submission_channel,0.0016870704,-0.00011380522
customer_claims_365d,0.0014112189,-0.00016721291
submission_is_weekend,0.00012621122,-1.0497886e-05
days_since_policy_change_missing,0.0,0.0
document_count_missing,0.0,0.0
provider_missing,0.0,0.0
recent_policy_change,0.0,0.0
has_invoice,0.0,0.0
has_prescription_missing,0.0,0.0
service_is_weekend,0.0,0.0
