feature,shap_value,abs_shap,case_type
customer_provider_claims_30d,1.9932929,1.9932929,true_positive_high_risk
customer_claims_7d,1.296368,1.296368,true_positive_high_risk
days_since_customer_previous_claim,1.1540684,1.1540684,true_positive_high_risk
customer_provider_intensity,1.1341574,1.1341574,true_positive_high_risk
customer_claims_30d,0.97840995,0.97840995,true_positive_high_risk
claim_to_service_median_ratio,0.91931087,0.91931087,true_positive_high_risk
same_service_claims_30d,0.65343136,0.65343136,true_positive_high_risk
days_since_same_provider_claim,0.44492307,0.44492307,true_positive_high_risk
same_service_intensity,0.41638228,0.41638228,true_positive_high_risk
requested_to_limit_ratio,0.25167558,0.25167558,true_positive_high_risk
service_typical_amount,0.13678478,0.13678478,true_positive_high_risk
service_month,0.13581115,0.13581115,true_positive_high_risk
reimbursement_ratio,-0.13474883,0.13474883,true_positive_high_risk
submission_month,0.11352263,0.11352263,true_positive_high_risk
recent_claim_share_30d_365d,0.107753396,0.107753396,true_positive_high_risk
provider_tenure_months,-0.103156224,0.103156224,true_positive_high_risk
service_category_consultation,0.098596625,0.098596625,true_positive_high_risk
provider_claims_30d,0.08796436,0.08796436,true_positive_high_risk
provider_recent_activity_ratio,0.073949866,0.073949866,true_positive_high_risk
customer_age,-0.06478493,0.06478493,true_positive_high_risk
customer_provider_claims_30d,2.2754235,2.2754235,false_positive
days_since_customer_previous_claim,1.5326898,1.5326898,false_positive
same_service_claims_30d,0.9265471,0.9265471,false_positive
customer_provider_intensity,0.80447847,0.80447847,false_positive
days_since_same_provider_claim,0.4844883,0.4844883,false_positive
customer_claims_30d,0.4776094,0.4776094,false_positive
customer_claims_7d,0.4710328,0.4710328,false_positive
same_service_intensity,0.44284907,0.44284907,false_positive
recent_claim_share_30d_365d,0.23064429,0.23064429,false_positive
customer_age,0.20021969,0.20021969,false_positive
amount_above_service_typical,0.10458829,0.10458829,false_positive
provider_claims_30d,-0.09828038,0.09828038,false_positive
reimbursement_ratio,-0.095492534,0.095492534,false_positive
service_typical_amount,0.075144716,0.075144716,false_positive
service_month,0.07039583,0.07039583,false_positive
submission_month,0.07032714,0.07032714,false_positive
provider_claims_90d,0.06337032,0.06337032,false_positive
claim_to_service_median_ratio,-0.062588744,0.062588744,false_positive
provider_type_pharmacy,0.052164998,0.052164998,false_positive
claim_amount,-0.04352407,0.04352407,false_positive
service_typical_amount,-0.2642799,0.2642799,false_negative
days_since_customer_previous_claim,-0.2381673,0.2381673,false_negative
reimbursement_ratio,-0.2255931,0.2255931,false_negative
submission_month,-0.2181879,0.2181879,false_negative
claim_to_service_median_ratio,-0.19133121,0.19133121,false_negative
provider_claims_30d,-0.16990271,0.16990271,false_negative
provider_type_pharmacy,-0.14598134,0.14598134,false_negative
requested_to_limit_ratio,-0.1011042,0.1011042,false_negative
customer_claims_30d,-0.07760114,0.07760114,false_negative
provider_claims_90d,-0.07730326,0.07730326,false_negative
same_service_claims_30d,-0.07397856,0.07397856,false_negative
customer_provider_claims_30d,-0.057674266,0.057674266,false_negative
customer_provider_intensity,-0.040694345,0.040694345,false_negative
customer_tenure_months,-0.03966273,0.03966273,false_negative
customer_age,0.039541535,0.039541535,false_negative
same_service_intensity,-0.033515338,0.033515338,false_negative
coverage_limit,-0.03322404,0.03322404,false_negative
provider_recent_activity_ratio,-0.03085391,0.03085391,false_negative
customer_amount_365d,-0.029633736,0.029633736,false_negative
customer_claims_7d,-0.029091615,0.029091615,false_negative
customer_provider_claims_30d,2.2754235,2.2754235,legitimate_anomaly
days_since_customer_previous_claim,1.5326898,1.5326898,legitimate_anomaly
same_service_claims_30d,0.9265471,0.9265471,legitimate_anomaly
customer_provider_intensity,0.80447847,0.80447847,legitimate_anomaly
days_since_same_provider_claim,0.4844883,0.4844883,legitimate_anomaly
customer_claims_30d,0.4776094,0.4776094,legitimate_anomaly
customer_claims_7d,0.4710328,0.4710328,legitimate_anomaly
same_service_intensity,0.44284907,0.44284907,legitimate_anomaly
recent_claim_share_30d_365d,0.23064429,0.23064429,legitimate_anomaly
customer_age,0.20021969,0.20021969,legitimate_anomaly
amount_above_service_typical,0.10458829,0.10458829,legitimate_anomaly
provider_claims_30d,-0.09828038,0.09828038,legitimate_anomaly
reimbursement_ratio,-0.095492534,0.095492534,legitimate_anomaly
service_typical_amount,0.075144716,0.075144716,legitimate_anomaly
service_month,0.07039583,0.07039583,legitimate_anomaly
submission_month,0.07032714,0.07032714,legitimate_anomaly
provider_claims_90d,0.06337032,0.06337032,legitimate_anomaly
claim_to_service_median_ratio,-0.062588744,0.062588744,legitimate_anomaly
provider_type_pharmacy,0.052164998,0.052164998,legitimate_anomaly
claim_amount,-0.04352407,0.04352407,legitimate_anomaly
customer_provider_claims_30d,2.738581,2.738581,hard_fraud
customer_provider_intensity,1.1967695,1.1967695,hard_fraud
customer_claims_30d,1.0964066,1.0964066,hard_fraud
same_service_claims_30d,0.70493585,0.70493585,hard_fraud
days_since_customer_previous_claim,0.45176047,0.45176047,hard_fraud
same_service_intensity,0.43645352,0.43645352,hard_fraud
claim_to_service_median_ratio,0.25849268,0.25849268,hard_fraud
submission_month,0.23299615,0.23299615,hard_fraud
reimbursement_ratio,0.22070768,0.22070768,hard_fraud
service_month,0.1473209,0.1473209,hard_fraud
service_typical_amount,0.10830794,0.10830794,hard_fraud
requested_to_limit_ratio,0.08505625,0.08505625,hard_fraud
provider_claims_30d,-0.08329635,0.08329635,hard_fraud
recent_claim_share_30d_365d,0.08068757,0.08068757,hard_fraud
provider_recent_activity_ratio,0.07761641,0.07761641,hard_fraud
service_category_consultation,0.053567328,0.053567328,hard_fraud
coverage_level_premium,0.05261851,0.05261851,hard_fraud
provider_claims_90d,-0.046272863,0.046272863,hard_fraud
provider_type_pharmacy,0.045826185,0.045826185,hard_fraud
customer_claims_7d,-0.045800433,0.045800433,hard_fraud
