feature,mean_abs_shap,mean_shap
claim_to_service_median_ratio,0.2968342,-0.09718925
days_since_customer_previous_claim,0.26135892,-0.14223804
reimbursement_ratio,0.21337219,-0.009786823
provider_claims_30d,0.19225936,-0.090207346
submission_month,0.117446095,-0.07144405
amount_above_service_typical,0.0968653,-0.033084013
requested_to_limit_ratio,0.09604984,-0.031537663
same_service_claims_30d,0.09546434,-0.04737274
customer_claims_30d,0.09461442,-0.056221467
customer_provider_claims_30d,0.08507808,-0.047405962
provider_type_pharmacy,0.07030938,-0.0018371071
service_typical_amount,0.062385682,0.0080617145
provider_claims_90d,0.06236297,0.0015492925
same_service_intensity,0.052093334,-0.024773072
customer_provider_intensity,0.051878016,-0.035416856
service_month,0.051877968,0.039980754
customer_age,0.043973178,-0.0030927504
provider_tenure_months,0.040812865,-0.0022153363
customer_claims_7d,0.039171584,-0.018118164
provider_avg_claim_amount_90d,0.03442405,-0.0016887543
requested_reimbursement,0.033697896,-0.006891701
provider_region_south,0.030596802,-0.0020194368
policy_tenure_months,0.029599851,0.016835604
customer_tenure_months,0.029291961,-0.00051432155
provider_recent_activity_ratio,0.029288128,-0.0075702025
claim_amount,0.028589431,-0.008110943
customer_avg_claim_amount_365d,0.02313597,0.0012541894
claim_to_customer_avg_ratio,0.022494106,-0.0012922864
recent_claim_share_30d_365d,0.021670863,-0.012427235
submission_dayofweek,0.021541895,0.00010161486
service_category_consultation,0.01892454,0.0022752075
provider_region_north,0.01846413,-0.00079299737
submission_hour,0.0171429,-7.6217315e-05
provider_region_central,0.0142866075,-0.0014567801
customer_amount_365d,0.013904282,0.00078112085
days_service_to_submission,0.012453813,-6.99198e-05
coverage_limit,0.010544463,0.00047767878
provider_type_general_practitioner,0.008677231,-0.00018365581
service_code_CONS_FOLLOWUP,0.008581483,-0.0020534217
service_dayofweek,0.00851068,-0.00021275086
days_since_same_provider_claim,0.008179436,-0.0024753846
provider_region_east,0.007874946,-0.0008779604
service_units,0.0076138154,-0.00073490996
claim_to_provider_avg_ratio,0.007490862,-0.001919153
provider_type_laboratory,0.006611671,8.6676206e-05
customer_amount_30d,0.006595025,-0.0032077534
service_category_physiotherapy,0.0051330305,0.00023713696
document_count,0.0047255997,-0.0003201539
provider_region_west,0.0042320592,0.00021827396
customer_claims_90d,0.003651938,-0.0018899112
service_code_OPT_LENSES,0.0034675084,0.00022045925
service_category_medical_device,0.0033613448,4.481286e-05
coverage_level_premium,0.0029556237,0.0014062067
days_since_policy_change,0.0028716966,5.114591e-05
service_code_DENT_CROWN,0.0025852371,-0.00028043138
service_code_DIAG_IMAGING,0.0025649415,-9.338571e-05
service_category_diagnostic,0.0025519244,1.3877834e-05
service_code_CONS_SPEC,0.0025106652,-4.7736987e-05
recent_amount_share_30d_365d,0.0021716657,-0.0018638865
has_prescription_False,0.0021092054,-0.0001641324
service_category_optical,0.0018866184,-3.8930084e-05
customer_claims_365d,0.0014112189,-0.00016721291
service_code_PHARM_OTHER,0.0013226485,-0.00010285082
service_code_DENT_CHECK,0.0012174167,4.5655503e-05
service_code_CONS_GP,0.0011902705,-8.185614e-05
submission_channel_mobile_app,0.0011559237,-0.00010599033
service_code_OTHER_02,0.0011225814,-0.00014250034
provider_type_physiotherapist,0.00070601754,5.1513267e-05
has_prescription_True,0.00062512024,-1.0809736e-05
submission_channel_web,0.0005311467,-7.8148905e-06
coverage_level_basic,0.00051168335,3.594436e-05
service_category_other,0.0003800634,-0.00012602922
service_category_pharmacy,0.00021253081,-2.3452385e-05
coverage_level_standard,0.00015749273,-5.8027485e-06
submission_is_weekend,0.00012621122,-1.0497886e-05
submission_channel_email,0.0,0.0
service_code_PHYSIO_STANDARD,0.0,0.0
service_code_PHYSIO_SPECIAL,0.0,0.0
service_code_PHYSIO_REHAB,0.0,0.0
service_code_PHARM_RX,0.0,0.0
service_code_PHARM_DEVICE,0.0,0.0
service_code_OPT_FRAME,0.0,0.0
service_code_OTHER_01,0.0,0.0
service_code_DEVICE_OTHER,0.0,0.0
service_code_DIAG_LAB,0.0,0.0
service_code_OPT_CONTACT,0.0,0.0
service_code_DIAG_OTHER,0.0,0.0
service_code_DENT_PROSTHESIS,0.0,0.0
service_code_DENT_SURGERY,0.0,0.0
service_code_DEVICE_HEARING,0.0,0.0
service_code_DEVICE_ORTHO,0.0,0.0
service_category_dental,0.0,0.0
provider_type_other,0.0,0.0
provider_type_medical_supplier,0.0,0.0
provider_type_optician,0.0,0.0
submission_channel_provider_direct,0.0,0.0
submission_channel_paper,0.0,0.0
has_prescription_None,0.0,0.0
provider_type_dentist,0.0,0.0
provider_type_specialist,0.0,0.0
has_invoice,0.0,0.0
has_prescription_missing,0.0,0.0
recent_policy_change,0.0,0.0
document_count_missing,0.0,0.0
provider_missing,0.0,0.0
service_is_weekend,0.0,0.0
days_since_policy_change_missing,0.0,0.0
